,Unnamed: 0,filename,artist,title,style,genre,date
149,205,102671.jpg,9d9ad9e2fbdcff68dadc266ccc6e4aed,Madonna with St. Mary Magdalene and St. John the Baptist ,High Renaissance,religious painting,1506
151,208,80947.jpg,46200eee40e22039aef7a5944bb445c9,Wotan and Brunhilde,Art Nouveau (Modern),mythological painting,c.1915
152,209,5145.jpg,c3e9d9ebe5f2900190bef9342c440bd9,Agony In The Garden,Northern Renaissance,religious painting,1508
153,212,55851.jpg,46200eee40e22039aef7a5944bb445c9,Kolo middle Dolomites,Art Nouveau (Modern),sketch and study,c.1912
154,213,12455.jpg,46200eee40e22039aef7a5944bb445c9,Landscape in Semmering,Symbolism,landscape,1913
155,216,74857.jpg,46200eee40e22039aef7a5944bb445c9,Female Nude with blue cloth,Art Nouveau (Modern),nude painting (nu),c.1913
164,225,73923.jpg,46200eee40e22039aef7a5944bb445c9,Design for the anniversary card Korrespodenz (Vienna edition),Art Nouveau (Modern),design,1908
165,227,69300.jpg,46200eee40e22039aef7a5944bb445c9,Landscape in Semmering,Post-Impressionism,landscape,c.1907
166,228,61125.jpg,d41c502f1b4faa29dcc0214c4e3dc33d,"Portrait of a lady with roses in her hair, (Countess Pushkina)",Neo-Rococo,portrait,
167,229,97348.jpg,a087f33967e659c63924aa07c89b948f,Madonna,Northern Renaissance,religious painting,1514
170,233,5241.jpg,342d7068656b00878b23e1031a3ddf50,Girl with Peaches ,Impressionism,portrait,1887.0
173,236,65103.jpg,46200eee40e22039aef7a5944bb445c9,Poster of five art exhibition of the Association of Austrian Artists of Secession,Art Nouveau (Modern),poster,1899
176,239,76728.jpg,34af3fde07e283bb8c99f8de85e5f94d,Baby Jesus asleep on the Cross,Baroque,religious painting,1625
178,242,8362.jpg,b5d68c68efa0917dc276558a88dfee56,Christ in the Wilderness,Realism,religious painting,1872
179,245,95021.jpg,d8a3c897c506be7de91d8f892f14f934,La Francontoise  ,,,1896.0
180,246,32721.jpg,51b72626792ce4fabab05000bac62e7d,The Guard,Orientalism,genre painting,
181,247,9348.jpg,d8a3c897c506be7de91d8f892f14f934,L'Internationale  ,Realism,illustration,1895.0
182,248,75013.jpg,d8a3c897c506be7de91d8f892f14f934,Les Gavroches  ,Art Nouveau (Modern),illustration,1893.0
183,249,25251.jpg,d2a12d1486da7fdfeb74b488075cf1f6,The Subsiding of the Waters of the Deluge,Romanticism,landscape,1829
185,252,80078.jpg,4a30943bf6dd5da55d12ccd14aaff0d8,"The Five Painters: Bonnard, Vuillard, Roussel, Cottet and Vallotton",Magic Realism,portrait,1902
189,256,82905.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Climbing on Mt. Fuji,Ukiyo-e,landscape,
190,258,80633.jpg,bfb541e54ad5c7320e8f80e2a2163e93,"Two mice, one lying on the ground with head resting on forepaws",Ukiyo-e,animal painting,
193,263,90839.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Mishima pass in Kai province,Ukiyo-e,landscape,
194,264,34102.jpg,46200eee40e22039aef7a5944bb445c9,Pieta,Symbolism,religious painting,c.1895
196,266,8959.jpg,bfb541e54ad5c7320e8f80e2a2163e93,The Fuji seen from the gay quarter in Senju,Ukiyo-e,genre painting,
197,267,36785.jpg,8aebe44d4fbb5ca859ddfe6260403e4a,The Lady of the Camellias,Art Nouveau (Modern),poster,1896
198,268,71886.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Shichiri beach in Sagami province,Ukiyo-e,landscape,
199,269,77236.jpg,10fa8daca394c750f0112da41df65021,Dutch Interior II,Surrealism,interior,1928
204,274,29159.jpg,46200eee40e22039aef7a5944bb445c9,Draft of furniture decoration for the bedroom of the apartment Eisler Terra Mare,Art Nouveau (Modern),design,1902
205,275,59682.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Fujimi Fuji view field in the Owari province,Ukiyo-e,genre painting,
206,276,88250.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Shimomeguro,Ukiyo-e,landscape,
207,278,18147.jpg,2196c96d3612334fa07aa43daa6ef322,The Dream,Naïve Art (Primitivism),allegorical painting,1910
208,279,65771.jpg,bfb541e54ad5c7320e8f80e2a2163e93,The Fields of Sekiya by the Sumida River,Ukiyo-e,genre painting,1831
209,280,98553.jpg,bfb541e54ad5c7320e8f80e2a2163e93,The lake of Hakone in the Segami province,Ukiyo-e,landscape,
210,281,254.jpg,bf1d0c9118c5c4d6973bfeb5d7657d83,The widow,Realism,portrait,
213,284,55861.jpg,46200eee40e22039aef7a5944bb445c9,Figure study to Mermaid,Art Nouveau (Modern),sketch and study,1914
215,286,42726.jpg,bfb541e54ad5c7320e8f80e2a2163e93,The Tea plantation of Katakura in the Suruga province,Ukiyo-e,landscape,
216,287,67649.jpg,bfb541e54ad5c7320e8f80e2a2163e93,The Kazusa sea route,Ukiyo-e,marina,
217,288,100455.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Umegawa in Sagami province,Ukiyo-e,landscape,
219,291,37568.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Senju in the Musachi provimce,Ukiyo-e,genre painting,
223,296,36862.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Sazai hall,Ukiyo-e,genre painting,
224,298,8517.jpg,bfb541e54ad5c7320e8f80e2a2163e93,"Shore of Tago Bay, Ejiri at Tokaido",Ukiyo-e,landscape,1832
226,300,76100.jpg,bfb541e54ad5c7320e8f80e2a2163e93,"Honjo Tatekawa, the timberyard at Honjo",Ukiyo-e,genre painting,
228,302,19944.jpg,bfb541e54ad5c7320e8f80e2a2163e93,The Fuji from Kanaya on the Tokaido,Ukiyo-e,landscape,
229,303,71417.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Enoshima in the Sagami province,Ukiyo-e,landscape,
232,307,34897.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Bay of Noboto,Ukiyo-e,landscape,
233,309,83076.jpg,1b75de7e18ba6fa547a7aed27b4fb355,The Virgin and Child with Saint Anne and Saint John the Baptist,High Renaissance,religious painting,c.1499
235,311,42265.jpg,46200eee40e22039aef7a5944bb445c9,Flowers,Art Nouveau (Modern),design,c.1904
239,316,59679.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Kajikazawa in Kai Province,Ukiyo-e,genre painting,
243,320,19346.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Watermill at Onden,Ukiyo-e,genre painting,
245,322,92045.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Fuji seen through the Mannen bridge at Fukagawa,Ukiyo-e,landscape,
246,323,9944.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Nakahara in the Sagami province,Ukiyo-e,genre painting,
247,324,91676.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Ono Shindon in the Suraga province,Ukiyo-e,genre painting,
249,326,6362.jpg,bfb541e54ad5c7320e8f80e2a2163e93,The Fuji from the mountains of Totomi,Ukiyo-e,genre painting,
251,328,7288.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Tama river in the Musashi province,Ukiyo-e,landscape,
254,331,69606.jpg,2196c96d3612334fa07aa43daa6ef322,The Sleeping Gypsy ,Naïve Art (Primitivism),genre painting,1897
256,333,93353.jpg,24ed88087b0ffeb763e89a197a5cde0d,At the Beach in Nice,Impressionism,genre painting,1882
257,334,92736.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Mitsui Shop on Suruga Street in Edo,Ukiyo-e,cityscape,c.1831
259,336,50093.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Ejiri in the Suruga province,Ukiyo-e,landscape,c.1832
261,338,73066.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Hodogaya on the Tokaido,Ukiyo-e,genre painting,
263,341,58664.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Lake Suwa in the Shinano province,Ukiyo-e,landscape,
264,342,79031.jpg,bfb541e54ad5c7320e8f80e2a2163e93,"The Fuji reflects in Lake Kawaguchi, seen from the Misaka pass in the Kai province",Ukiyo-e,landscape,
266,344,64794.jpg,c3e9d9ebe5f2900190bef9342c440bd9,The Adoration of the Magi,Northern Renaissance,religious painting,1504
267,345,102837.jpg,d7f21b854745372690a1896b8342d19f,Sappho,Symbolism,portrait,1893
268,346,68329.jpg,bfb541e54ad5c7320e8f80e2a2163e93,"Fuji, Mountains in clear Weather  (Red Fuji)",Ukiyo-e,landscape,1831
270,349,77220.jpg,d8a3c897c506be7de91d8f892f14f934,Model at rest ,Realism,sketch and study,
276,356,11908.jpg,062244b785e58518f2f189329633c59e,"Sketch for the spectacle, The action of Theophile",Art Nouveau (Modern),design,1907.0
278,358,13211.jpg,bfb541e54ad5c7320e8f80e2a2163e93,The coast of seven leages in Kamakura,Ukiyo-e,landscape,
279,359,38493.jpg,46200eee40e22039aef7a5944bb445c9,"Holy Spirit Church in Düsseldorf, design for the entrance wall",Art Nouveau (Modern),design,1907
282,364,21812.jpg,3cbc8bc4a88d67bda34c2d436212e2cf,"Group of Actors at Mid Body, the Former French Comedy",Realism,genre painting,1865
283,365,54323.jpg,bfb541e54ad5c7320e8f80e2a2163e93,The Fuji seen from the Mishima pass,Ukiyo-e,landscape,
285,367,90318.jpg,46200eee40e22039aef7a5944bb445c9,Mountain slope,Symbolism,landscape,c.1913
286,368,4735.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Tea house at Koishikawa. The morning after a snowfall,Ukiyo-e,landscape,
287,369,95186.jpg,062244b785e58518f2f189329633c59e,"Sketch for the opera ""Prince Igor"" by Alexander Borodin ",Art Nouveau (Modern),design,1930.0
289,372,45108.jpg,46200eee40e22039aef7a5944bb445c9,"Holy Spirit Church in Düsseldorf, design for the choir wall",Art Nouveau (Modern),design,1907
291,374,58764.jpg,bfb541e54ad5c7320e8f80e2a2163e93,The Big wave,Ukiyo-e,marina,
292,378,57230.jpg,46200eee40e22039aef7a5944bb445c9,"Reproduction template for the leaf for Gerlach's love allegories. New Series, Plate 35",Art Nouveau (Modern),illustration,c.1895
293,379,98698.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Sunset across the Ryogoku bridge from the bank of the Sumida river at Onmagayashi,Ukiyo-e,genre painting,
294,380,43868.jpg,8cdd41002b7b5c5d112865054a7fe13e,Women and Sculptures on the Beach,Expressionism,sketch and study,c.1912
297,384,38985.jpg,e8eae9a2f53456f01d601ae153f76a2d,Mars and Venus United by Love,Mannerism (Late Renaissance),mythological painting,c.1570
298,385,71922.jpg,8a1a67964c0cbea29fc9801b5c42c553,The Forest Clearing,Realism,landscape,1896.0
301,388,51408.jpg,46200eee40e22039aef7a5944bb445c9,Stage design for 'The Phantom' of Hermann Bahr,Art Nouveau (Modern),design,1913
302,390,85069.jpg,46200eee40e22039aef7a5944bb445c9,Stage design for 'The Phantom' of Hermann Bahr,Art Nouveau (Modern),design,1913
305,394,20768.jpg,d8a3c897c506be7de91d8f892f14f934,Separation  ,Art Nouveau (Modern),illustration,1892.0
308,398,42047.jpg,46200eee40e22039aef7a5944bb445c9,Landscape in Semmering,Symbolism,landscape,1913
309,399,70088.jpg,d8a3c897c506be7de91d8f892f14f934,La Mort de Jesus  ,Realism,illustration,1894.0
311,402,70020.jpg,46200eee40e22039aef7a5944bb445c9,Self-portrait,Art Nouveau (Modern),self-portrait,c.1914
313,405,4364.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Tsukada Island in the Musashi province,Ukiyo-e,marina,
318,410,67382.jpg,46200eee40e22039aef7a5944bb445c9,Poster for Fromme's Calendar,Art Nouveau (Modern),poster,1899
321,415,60634.jpg,397c63db1c7b507d23abff3f8bb0fa18,Self-portrait,Baroque,self-portrait,1658
323,417,2896.jpg,062244b785e58518f2f189329633c59e,"Sketch for the opera ""Legend of the Invisible City of Kitezh and Maiden Fevronia""  by Nikolai Rimsky-Korsakov ",Art Nouveau (Modern),design,1929.0
324,418,96147.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,capriccio,
326,420,71859.jpg,60532377d2fb5ccaf72bfac7c9406191,Old House in Germany,Symbolism,cityscape,1957
331,425,11889.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
333,427,60161.jpg,5fc2ffdd3d24ab503edd9a271dc379bd,"Rome, Castle Sant Angelo",Realism,cityscape,c.1827
334,428,856.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,interior,
336,430,83517.jpg,1e595d48fcdc7832cb923efc35aa8da4,Notary,Neo-Expressionism,figurative,1983.0
338,432,67325.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,capriccio,
342,438,60691.jpg,8cdd41002b7b5c5d112865054a7fe13e,Erna Japanschirm,Expressionism,portrait,1913
343,439,46490.jpg,bfb541e54ad5c7320e8f80e2a2163e93,"A scene of a shinto shrine dance, kagura",Ukiyo-e,genre painting,
344,440,78687.jpg,bfb541e54ad5c7320e8f80e2a2163e93,An older woman hits another woman with her shoe,Ukiyo-e,genre painting,
345,441,1123.jpg,bfb541e54ad5c7320e8f80e2a2163e93,"Oiran, a special beautiful courtesan",Ukiyo-e,genre painting,
346,442,79047.jpg,62a37f405ba3b2160759e70ee2e917c3,"Contra-Composition of Dissonances, XVI",Neoplasticism,abstract,1925
348,444,86586.jpg,bfb541e54ad5c7320e8f80e2a2163e93,A well educated boy pays respect to an older man,Ukiyo-e,genre painting,
349,445,73466.jpg,46200eee40e22039aef7a5944bb445c9,"Allegory of Ver Sacrum, sketch of illustration to Ver Sacrum, 101 1898, p.1",Art Nouveau (Modern),sketch and study,1897
350,447,71855.jpg,bfb541e54ad5c7320e8f80e2a2163e93,An old woman,Ukiyo-e,genre painting,
352,449,72234.jpg,bfb541e54ad5c7320e8f80e2a2163e93,A woman makes a cursing ritual ceremony,Ukiyo-e,genre painting,
354,451,64210.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,The Greens (Seated Woman in a Garden),Post-Impressionism,portrait,1891
355,452,94943.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
356,453,14628.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Scene of housekeeping. Four women are working,Ukiyo-e,genre painting,
361,459,36713.jpg,bfb541e54ad5c7320e8f80e2a2163e93,A bride is on her way with her maid,Ukiyo-e,genre painting,
363,461,23452.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
365,463,63564.jpg,bfb541e54ad5c7320e8f80e2a2163e93,Four women working very hard and carrying vats of water,Ukiyo-e,genre painting,
367,465,12155.jpg,bfb541e54ad5c7320e8f80e2a2163e93,A man is watching a beautiful woman,Ukiyo-e,genre painting,
368,466,42432.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,veduta,
369,467,88767.jpg,39c465a1d078121873a31807ce9dc2ed,Windows,Art Nouveau (Modern),design,
370,468,76388.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,veduta,
371,469,82140.jpg,d09f796f2b0aa11dffc88badd9806119,The Black Sea,Romanticism,marina,
372,470,39586.jpg,bfb541e54ad5c7320e8f80e2a2163e93,A mean man will kill a woman with his sword,Ukiyo-e,genre painting,
373,471,83092.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
376,474,75187.jpg,d8a3c897c506be7de91d8f892f14f934,Sur L'Eau  ,Art Nouveau (Modern),illustration,1894.0
378,476,39086.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,capriccio,
379,477,58564.jpg,342d7068656b00878b23e1031a3ddf50,The Rape of Europa ,Art Nouveau (Modern),mythological painting,1910.0
380,478,28179.jpg,d8a3c897c506be7de91d8f892f14f934,Tu te Brules a la Chandelle ,Realism,illustration,1900.0
381,479,48736.jpg,50900e56a7480824436d7ad7f83fcc2b,Cupid Unfastening the Girdle of Venus,Rococo,mythological painting,1788
382,480,76577.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,interior,
384,482,44603.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
385,483,42415.jpg,062244b785e58518f2f189329633c59e,Illustration for Alexander Pushkin's 'Fairytale of the Tsar Saltan',Art Nouveau (Modern),illustration,
387,485,47417.jpg,8e441c5899bf3d2f3b2c493e62fb92bf,Sceleton,Ukiyo-e,allegorical painting,
388,486,74498.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,interior,
389,487,84023.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
390,488,7022.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
391,489,80565.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
393,492,1658.jpg,5f766392b0bb21a9a771c4675efccd5f,Alyonushka,Romanticism,literary painting,1881.0
394,493,14108.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
396,496,37308.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
397,497,29842.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,design,
398,498,55911.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
400,501,68070.jpg,46200eee40e22039aef7a5944bb445c9,A crouching woman,Art Nouveau (Modern),sketch and study,c.1914
402,503,25140.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,interior,
404,505,8328.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,"Reconstruction of the column referred to in the preceding tables, and various medals of Antoninus and Faustina",Neoclassicism,capriccio,
405,506,3016.jpg,dd4989789d310581024ae2b9203d5439,Ambroise Vollard Portrait,Impressionism,portrait,
407,508,78766.jpg,db1318d32df7428076e03513ebf762bb,Wildflowers,Realism,flower painting,c.1906
409,512,33696.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,veduta,
411,514,72281.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,interior,
413,517,42728.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,veduta,
414,518,27129.jpg,46200eee40e22039aef7a5944bb445c9,Ver Sacrum postcard nr. 12 I. Secessionausstellung  with greeting line of the art historian Julius von Schlosser,Art Nouveau (Modern),design,1898
416,520,41945.jpg,c7410238d399d9f454123e59b059fdd2,Landscape at Beaulieu,Cubism,cityscape,1918
417,521,59420.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
418,522,65797.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
419,524,23565.jpg,79f6b47483600c140c91e901f746a368,Our Lady of the Angels,Neoclassicism,religious painting,
420,525,4155.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
423,531,40565.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,interior,
425,533,98150.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,capriccio,
426,534,45482.jpg,4a30943bf6dd5da55d12ccd14aaff0d8,View of Honfleur ,Magic Realism,landscape,1910
427,535,70787.jpg,8aebe44d4fbb5ca859ddfe6260403e4a,Fruit,Art Nouveau (Modern),allegorical painting,1897
429,537,95183.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,capriccio,
432,540,32755.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,capriccio,
433,541,73244.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,capriccio,
434,543,69250.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,interior,
435,544,63452.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
436,545,74387.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,cityscape,
438,547,43940.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,Polyptych Albani Torlonia (particular detail),High Renaissance,religious painting,1491
440,550,90288.jpg,5fc2ffdd3d24ab503edd9a271dc379bd,Ville d'Avray,Realism,landscape,1873
443,554,38337.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Vedute di Roma,Neoclassicism,capriccio,
